callsign,time,lat,lon,velocity,baroaltitude_m,geoaltitude_m,lon_lv95,lat_lv95
AUA551  ,1655712870,47.65678276449947,8.8421630859375,119.6345024801578,2141.2200000000003,2293.6200000000003,2705435,1279402
AUA551  ,1655712880,47.6473388671875,8.835342407226562,115.9646241070421,2133.6,2278.38,2704942,1278343
AUA551  ,1655712890,47.637882555945446,8.828571026141827,112.75598566680812,2133.6,2278.38,2704452,1277283
AUA551  ,1655712900,47.62917728747352,8.822514460637018,111.60589585808556,2133.6,2278.38,2704014,1276307
AUA551  ,1655712910,47.62001037597656,8.816116333007812,110.9208550088914,2133.6,2278.38,2703551,1275279
AUA551  ,1655712920,47.610928810248936,8.809697077824518,110.90057250171522,2133.6,2278.38,2703086,1274261
AUA551  ,1655712930,47.60197448730469,8.803276062011719,110.2135489496828,2133.6,2278.38,2702620,1273257
AUA551  ,1655712940,47.59295654296875,8.796890258789062,110.2135489496828,2133.6,2278.38,2702158,1272246
AUA551  ,1655712950,47.583984375,8.791328430175781,113.6304205320352,2133.6,2278.38,2701757,1271242
AUA551  ,1655712960,47.57350158691406,8.789955139160156,119.23786538865996,2133.6,2278.38,2701673,1270074
AUA551  ,1655712970,47.5627006918697,8.79448523888221,124.50182524162254,2133.6,2278.38,2702035,1268880
AUA551  ,1655712980,47.55357645325741,8.804344764122595,129.8693474312093,2133.6,2278.38,2702795,1267878
AUA551  ,1655712990,47.5469970703125,8.81817626953125,133.67033179987212,2133.6,2278.38,2703848,1267165
AUA551  ,1655713000,47.54356772212659,8.835965670072115,135.84926126976433,2133.6,2278.38,2705194,1266807
AUA551  ,1655713010,47.54388427734375,8.853401184082031,135.33886530669068,2133.6,2278.38,2706506,1266866
AUA551  ,1655713020,47.54576110839844,8.871597290039062,135.6572343061766,2141.2200000000003,2286.0000000000005,2707872,1267099
AUA551  ,1655713030,47.547821044921875,8.888969421386719,136.3393072911302,2133.6,2278.38,2709175,1267353
AUA551  ,1655713040,47.549991930945446,8.907235952524038,137.859474115907,2133.6,2278.38,2710546,1267619
AUA551  ,1655713050,47.55217988612288,8.92547607421875,137.5336953703976,2133.6,2278.38,2711914,1267889
AUA551  ,1655713060,47.55427551269531,8.942939758300781,136.8459719453348,2133.6,2278.38,2713224,1268147
AUA551  ,1655713070,47.55633544921875,8.960655212402344,136.75794912330318,2133.6,2278.38,2714552,1268401
AUA551  ,1655713080,47.558417885990465,8.97857666015625,135.6572343061766,2133.6,2278.38,2715896,1268659
AUA551  ,1655713090,47.56051273669227,8.996535081129807,135.1500296155325,2133.6,2278.38,2717243,1268919
AUA551  ,1655713100,47.562469482421875,9.013870239257812,136.16449331371507,2133.6,2278.38,2718543,1269162
AUA551  ,1655713110,47.56443786621094,9.031723022460938,136.19461615968513,2133.6,2278.38,2719882,1269408
AUA551  ,1655713120,47.56442312466896,9.049635667067308,134.66744748284344,2133.6,2270.76,2721230,1269434
AUA551  ,1655713200,47.49261474609375,9.077316284179688,116.32010000244156,2133.6,2278.38,2723479,1261495
AUA551  ,1655713210,47.48263084282309,9.072523850661057,116.32010000244156,2133.6,2278.38,2723141,1260377
AUA551  ,1655713220,47.47325134277344,9.066123962402344,115.72703356358566,2118.36,2263.1400000000003,2722681,1259325
AUA551  ,1655713230,47.46573238049523,9.055340106670672,113.50691296832431,2072.6400000000003,2225.0400000000004,2721885,1258472
AUA551  ,1655713240,47.46098405223781,9.042522723858172,111.82739392445067,2026.92,2171.7000000000003,2720930,1257924
AUA551  ,1655713250,47.45677185058594,9.028907775878906,111.9373875273312,1981.2,2125.98,2719913,1257435
AUA551  ,1655713260,47.4528374106197,9.01562030498798,112.87914258069434,1935.48,2080.26,2718920,1256978
AUA551  ,1655713270,47.44871520996094,9.001785278320312,111.9373875273312,1882.14,2026.92,2717886,1256499
AUA551  ,1655713280,47.44477844238281,8.988739013671875,110.5276678525235,1828.8,1965.9600000000005,2716911,1256041
AUA551  ,1655713290,47.44061279296875,8.975212097167969,109.80336891711816,1775.46,1912.62,2715900,1255558
AUA551  ,1655713300,47.436676025390625,8.96209716796875,109.19066325733532,1722.12,1859.28,2714919,1255101
AUA551  ,1655713310,47.43403030654131,8.948223407451922,107.14770670396862,1691.64,1821.18,2713878,1254787
AUA551  ,1655713320,47.43260192871094,8.933944702148438,106.0665763185662,1668.78,1798.32,2712804,1254608
AUA551  ,1655713330,47.4320068359375,8.92034912109375,104.443535308451,1645.92,1775.46,2711780,1254522
AUA551  ,1655713340,47.43223571777344,8.906272888183594,104.04494770136098,1615.44,1744.98,2710718,1254527
AUA551  ,1655713350,47.43291305283368,8.892798790564903,103.3520428659158,1592.5800000000002,1714.5000000000002,2709700,1254584
AUA551  ,1655713360,47.433929443359375,8.879287719726562,104.71052369497224,1569.72,1699.26,2708679,1254678
AUA551  ,1655713370,47.435028076171875,8.865348815917969,106.1227024733791,1546.86,1668.7800000000002,2707625,1254781
AUA551  ,1655713380,47.436126708984375,8.85113525390625,106.0665763185662,1516.38,1638.3000000000002,2706551,1254884
AUA551  ,1655713390,47.43717956542969,8.83740234375,104.07800973566164,1508.76,1630.68,2705513,1254982
AUA551  ,1655713400,47.438232421875,8.824424743652344,99.47942380855676,1501.14,1623.0600000000002,2704532,1255082
AUA551  ,1655713410,47.43928527832031,8.810966491699219,97.50037147911344,1470.66,1600.2,2703515,1255181
AUA551  ,1655713420,47.440314858646715,8.798006497896633,98.33957352591364,1394.46,1524.0000000000002,2702536,1255278
AUA551  ,1655713430,47.44119935116525,8.785541240985577,98.74377024718324,1325.88,1440.18,2701594,1255361
AUA551  ,1655713440,47.44212341308594,8.7725830078125,96.64566850147423,1272.54,1386.84,2700615,1255447
AUA551  ,1655713450,47.44303894042969,8.759674072265625,94.13762949330602,1226.8200000000002,1341.12,2699640,1255532
AUA551  ,1655713460,47.443852828720864,8.747511643629807,92.4998351348092,1173.48,1287.78,2698721,1255607
AUA551  ,1655713470,47.44464111328125,8.735572814941406,87.37979372013646,1120.14,1226.8200000000002,2697819,1255680
AUA551  ,1655713480,47.44548215704449,8.724412184495192,83.34151577499848,1074.42,1181.1,2696976,1255759
AUA551  ,1655713490,47.44633483886719,8.71380615234375,83.91116253612078,1021.08,1127.76,2696174,1255841
AUA551  ,1655713500,47.44715803760593,8.702721228966345,83.85279393607138,967.74,1066.8,2695337,1255919
